,pband,dband,mixing_energy,O-p
0,-18.534315837050745,-0.11601769089118559,-1.0428973041666723,-1.8194038030031972
1,-15.208924783809806,0.9252861695545914,-4.46199488000002,-2.427100716949358
2,-15.557851941838402,0.6323787464572538,-5.6180192633333945,-1.5728826521358745
3,-14.415843469586175,0.3221414926550231,-6.723354595416708,-2.8429254517990965
4,-14.972527891905,-0.1664388060710657,-7.399734967916629,-2.106435141131501
5,-14.688945409621997,0.06538376969525793,-2.414459072083332,-2.1514147913143975
6,-9.494155876898656,-0.5661365465174705,-9.59665489208328,-1.235755340009903
7,-15.958175995308116,0.5301749989846709,-5.708658689166668,-1.6298403312981744
8,-9.759038781040715,0.3556606351129456,-13.026306830833278,-2.1535722977143616
9,-14.82282745071333,-0.003551637837090046,-6.240051932083361,-2.7992190349068227
10,-9.020913087818434,0.40394993425222314,-9.338946353750089,-1.5143180838401051
11,-17.591421787425492,0.21638217893471823,-1.2077222625000559,-1.7311242100145339
12,-17.34437634903799,0.8680742633757751,0.006115075000025172,-1.849979581724898
13,-13.515701695372625,-0.13544880103076337,-7.006131629583251,-2.5659002823633195
14,-12.443699955301929,0.21702913743668023,-11.536145032499974,-2.294391146058354
15,-13.154749942565964,0.2893255725922461,-2.7785880745833538,-1.3450043930074547
16,-12.227554358890552,0.4809729108971982,-2.9515414416665635,-1.5767954780705113
17,-10.39849464825254,-1.3340074863377045,-11.491866838750013,-1.5074702566915348
18,-12.352568277539056,-0.02841181707573788,-3.4538365216666875,-1.4838023220549241
19,-15.803468315456243,0.3389519530753226,-1.139772985000036,-2.9918983115154303
20,-14.826611227004044,-0.48402702478117293,-4.325392523749997,-1.7169219601954513
21,-14.933811333297632,0.784211289051525,-8.645879762916593,-1.5117462626029359
22,-10.340560823506017,-0.4925728010804054,-9.99122009541668,-2.4711753134846384
23,-13.249488529894014,-0.19915674926914645,-9.818067487500002,-1.8170793630854438
24,-14.707952904200447,0.7918680947053784,-5.925339294999958,-2.2402387815374842
25,-13.20028079993318,0.2820367736635782,-1.1491640179167462,-1.3779502577077385
26,-14.82836177377448,1.5239373013816242,-5.73540910666668,-1.84460328164434
27,-13.963189648072307,0.2042891907964671,-9.947167431666742,-1.9772714127190962
28,-19.027595237588546,0.03433664662494578,-0.8293927762499607,-2.083797164015285
29,-7.626388177442681,-1.0414111772181396,-9.056386394999947,-1.8289738819744816
30,-15.04360580359744,0.48952493822095683,-1.7866348083332468,-1.7283968695431213
31,-9.453944345324985,-0.9771025567091549,-13.433554372083279,-1.6712078348354014
32,-17.743817204858715,0.9162878733025591,-0.22767729666668401,-1.8441278431817039
33,-14.610913527849409,-0.3396043414949386,-7.5626214949999735,-2.250212554750388
34,-12.183177967869247,-1.0033107439866311,-9.061118914583403,-2.6276590991720874
35,-15.604140007398026,-0.20860168299125384,-2.4015214787500554,-2.0147101461557475
36,-16.99563052882673,0.20835875207136198,-3.555998031666604,-1.5609340369168778
37,-13.606880619932594,-0.26362632998607693,-2.447320770000033,-1.7512903084859215
38,-9.201203655378372,-0.8532197198208213,-11.98349569166669,-1.9716652307246922
39,-18.08237731165995,0.5034648252351039,-0.4528597737499922,-1.8878385699881137
40,-9.718662715187175,-0.9834228850218323,-11.92772616166667,-2.199631942242132
41,-17.761199056113398,0.21529302679931786,-0.03137975291667772,-2.0364245963974925
42,-8.516122977754481,-0.04076937450694197,-14.621478282916655,-1.7915098284449735
43,-12.428754388917984,-0.5756138961596653,-8.687454798333306,-2.114241169130583
44,-17.714556400948766,0.8014461391713471,0.3235355045834467,-1.8585477118655904
45,-17.812540603461628,0.5328026350167002,-0.228842522500031,-2.2548776644347828
46,-11.188978976478996,-0.9017723168389631,-8.442124175000004,-1.412176063531309
47,-11.834713781141453,-0.7781875187066273,-3.1070123045834066,-1.0709579323083176
48,-11.298950476263817,-0.5809132002849994,-2.1210849529167035,-1.2021628467603047
49,-7.487041097074266,-0.7957279953664421,-14.907254029583385,-2.5362556050906835
50,-14.206103357468978,-0.6368564358331544,-4.753621370000019,-1.7693632417511953
51,-18.099903669536747,0.35594535744101746,0.44134797458332287,-2.272467617238615
52,-13.660999074824787,-1.0128666883897304,-9.432722122083305,-1.7745547148131207
53,-11.882765282815955,-0.7695997046038385,-11.527586620833404,-2.03398965905887
54,-12.258547850031785,-1.0844956864154964,-6.33099893041674,-1.6584447561494136
55,-10.863438020750827,-0.8484045646065338,-12.181871792500033,-1.5663792490469945
56,-16.11834496495368,0.7482221983237607,-4.355633058749959,-2.1717697373434537
57,-11.409176577283729,-0.016090456716872273,-8.159789529166574,-1.352306407586358
58,-9.936543094295036,-0.07854472546666134,-9.623359042500056,-1.8050022548882576
59,-14.548782518084156,0.8153667306530169,-9.205038584166687,-2.4972282476546313
60,-14.90705823246533,0.07786822392906899,-1.7365779550000298,-2.092861698427895
61,-15.743202791690917,0.22328637754742484,-4.623061355416667,-2.5504831061929156
62,-14.737744369264396,0.05885823405364957,-8.293050659583344,-2.1788137650015833
63,-12.690246967638492,0.7001756872743943,-5.345913320000022,-1.698483780261166
64,-16.30516999423284,0.0023689575122547778,-1.0848388787500198,-1.443493890741797
65,-14.382388044366316,0.7611335634755079,-9.622324255833348,-1.5851325695537448
66,-9.274646709760178,-1.3269789869639224,-13.55218257375003,-1.9444716973447997
67,-13.303406838452403,-0.31789931550398154,-3.1436490558333503,-1.338503147658698
68,-12.938051573362475,0.4535360294771613,-8.20165741624993,-2.4741318489368256
69,-15.795739331029182,0.3186741509128932,-4.363960679999991,-2.76044075887102
70,-14.727197887555262,-0.05214498079353181,-2.1712639087500065,-2.109099359174369
71,-15.040757618344344,-0.5044852642513983,-2.9025638379166594,-1.4576590429245138
72,-9.893739931230192,-1.2752239702192487,-10.772749189166689,-1.8073747313487196
73,-9.914644358699226,-0.5759263873968723,-11.042846372916642,-2.0116750843942555
74,-13.351910378372853,-0.058036838171035575,-5.248379201250032,-2.816798645275923
75,-18.53082530985488,-0.06996939706461996,-0.777169885833473,-2.2051278444588798
76,-13.26778460301445,-0.7484107596447961,-3.8200829587499925,-1.7433781402166593
77,-12.866100403031828,0.9858550336983491,-7.50679680833332,-2.6940195679648915
78,-14.856285148941678,1.2228626801013776,-5.219655447083255,-2.459027945862863
79,-8.682099658517993,-0.13688494099070714,-12.008417279166679,-2.2152364608980655
80,-16.23666069150839,-0.2699240865943364,-1.4820130333333168,-1.320911349991013
81,-18.037934021512513,0.3309868818142077,-1.236504371250021,-1.933897385470308
82,-16.41788594289622,1.2029495214085641,0.3166290224999102,-2.0301306385462
83,-17.75965558631874,0.6947807576206653,-0.41446682833327486,-2.303630842459394
84,-14.014308544058215,0.19699998825676332,-3.3640008591665946,-1.9044526192798992
85,-11.29353455248959,0.5150158789930341,-9.399566705833422,-2.3293332034327268
86,-14.25241410983438,-0.4299169777288356,0.21880884458335004,-1.2353059558425707
87,-15.830233117110954,-0.11480121240128126,-2.2753451349999523,-2.344171374055929
88,-9.64931675877337,-0.062022660488346336,-12.66031402708336,-1.5474179497546097
89,-18.649106815898442,-0.012613078706235455,-0.9048537508333538,-1.9116551333660987
90,-8.51770600145175,-0.08250289544962422,-9.687696927500042,-1.3968841928255455
91,-15.405235545385937,-0.2555267852716268,-7.847300136249999,-1.9739017853531813
92,-14.591615614515495,-0.0703311569154272,-8.214363497916679,-2.1143539375605123
93,-15.45277986833525,0.9146524986499142,-6.896156498333312,-1.9929089108795794
94,-17.91149238559854,-0.1872621765911437,-0.644235262916709,-2.288386847440003
95,-14.550539165761128,-0.4041821788137258,-3.3241121520833303,-2.0558849646859825
96,-9.997326306981412,-0.3020288582928884,-11.085528669166706,-1.2897976825574524
97,-14.098910410909145,-0.15566260749613042,-3.915929793750024,-1.5589430823595576
98,-17.80097405933776,0.6627440461626791,-1.018437163333374,-1.8448996518008232
99,-14.021673410199293,0.26489970939391594,-5.287451693750029,-1.505943372267315
100,-15.24707487917672,0.9966604613346574,-2.3313014116665727,-2.774086142036631
101,-17.662063646749104,0.619745198398869,-13.072886627916546,-2.5603342300457657
102,-15.741484698000741,-0.3152087893930121,-4.149565170833398,-2.556781798860051
103,-16.143840428744586,0.6574114543781033,-3.2664006658333165,-1.9407042952406008
104,-14.467670154348168,0.9728231052727078,-5.564244627916651,-2.3126901521677405
105,-14.409837696283681,0.3922505804090486,-8.699600752500146,-2.044197831041958
106,-15.43195072264802,-0.7411534367458232,-3.81772939291659,-1.6395738992656188
107,-18.121379034960384,0.2936751583553313,-1.3281026054166887,-1.7520064026486764
108,-14.924658928874944,0.21979039883080786,-6.402183122500105,-2.6048521297595713
109,-17.084739833519734,0.7633367348664489,-0.5052139716666488,-2.231982468925358
110,-14.137750696339326,-0.07573435279362871,-2.551801725833343,-2.019491045635589
111,-15.696238268597954,0.12034225441112666,-2.162416066666651,-2.037430493122562
112,-14.94626037932941,-0.7872610066709835,-2.6943813750000345,-1.21111539390471
113,-13.799925127533717,-0.31065627762099096,-2.673491904583443,-1.817269438811437
114,-13.079968474811624,0.1680292717183271,-2.2765203166667334,-1.400378523368697
115,-14.902675653955402,-0.3587100649294389,-4.840340457499963,-1.807090217561864
116,-13.814747642131598,-0.13472799427730378,-8.848258762499995,-2.4886518020124404
117,-13.829127952757052,-0.2811932269307706,-1.9701163979167404,-1.6975584379793969
118,-14.046007552329076,-0.09463232346501528,-3.627822321249994,-2.5746384228599104
119,-8.406533405919726,-0.49203944281726336,-10.445457859999976,-1.484599593583684
120,-10.999407530635478,-0.7805006666466872,-10.59597731416659,-2.2555868352467225
121,-14.627651366311632,-0.36164255998711947,-8.265224858750003,-2.35179737849057
122,-10.573000248909715,-0.2551002038504094,-12.14611160166669,-1.6525918504097699
123,-11.759319058823444,-0.42036103176035516,-2.109454077083342,-1.1462332750151432
124,-12.877980343559269,-1.0294805591719003,-6.841093572500029,-1.9751759819043706
125,-10.53541678494315,-1.0106193631343374,-8.91569566749996,-1.9430651318104433
126,-15.197774762933596,0.5509260883965559,-5.284953246249984,-2.523679600360761
127,-17.635706124150033,0.37539955385841034,-0.18080552541664474,-2.491722162313774
128,-15.08556830340716,-0.7745663331554852,-4.958638487500025,-2.0186094697736845
129,-18.302155013191552,0.03194521235326907,-0.5075964070833834,-2.1701851500637006
130,-16.744271363031267,-0.21676457166037194,-3.4502001362500323,-2.2073396538985954
131,-17.526825788284278,0.2801005979781724,-0.6715702354166524,-1.4244805395940756
132,-16.115228503582117,-0.513843317278938,-3.49103197166653,-1.7910653792014828
133,-10.476379947792381,-0.6161228304535218,-10.158915476250002,-1.4010873946886566
134,-14.92067360356346,0.7273851953719173,-6.6260675725000056,-1.9932618411847627
135,-15.40528932379556,0.3345555733165977,-2.8712090841667077,-2.9779929873815987
136,-14.892025938689082,0.8896256390037637,-5.5351905533333365,-2.1442078150543953
137,-11.01259986000673,-0.5331382756762835,-10.14453561166664,-2.700759681817945
138,-18.122247713156828,-0.09671942868685997,-1.3413322804167365,-2.0417105071128367
139,-19.623745017877106,-0.8916956558711483,0.0,-2.910774668455223
140,-17.633189737554396,0.493656885106339,0.0,-1.877876251403408
141,-19.419067600976813,-0.4116643499982044,0.0,-0.7267459428308984
142,-15.433549805497783,1.0984435506521462,0.0,-1.6504614934713544
143,-14.63142042625908,0.7175681346319691,0.0,-2.5345096192005285
144,-18.787417297221797,1.144992865314944,0.0,-3.627276027871367
145,-1.9456474267786792,-2.515395058429694,0.0,-2.7540998222000286
146,-0.4964403329642249,-2.364190997733311,0.0,-0.7982222721536355
147,-16.234645239867625,0.776873714444524,-3.769655432083255,-1.8653177271209416
148,-14.141612348546216,0.2877481511135457,-17.70363502708335,-2.398639682231191
149,-11.393173228989165,-0.7100202639155656,-9.185985339166734,-1.3556225899044343
150,-15.084940565004873,1.4376883907979514,-4.36085682958344,-1.8800711358597804
151,-14.094644725341851,0.1190576877351103,-4.023917382916636,-1.465962524144785
152,-15.597160549735284,0.013116640095976,-6.2959140212500415,-1.3252566822350538
153,-12.55358891801654,-0.0753561944123487,-9.09675109333341,-1.3459552961977104
154,-15.612075418522158,0.3553512086512052,-6.052070285416676,-1.7372850125846266
155,-13.93584524992526,0.7640151515911439,-9.502680881666606,-2.282003740347159
156,-16.2613189852642,-0.3555483756290518,-6.382371894583343,-2.827325474578138
157,-15.959694534911478,0.461347522833901,-9.808084743749989,-2.2258265811254927
158,-14.846320056658971,0.0909978705331707,-5.987645901666724,-1.9036143271267647
159,-17.577174553258914,0.4525933693646595,-6.527111406250015,-1.214192535091991
160,-15.58699682947323,-0.1218135357215444,-6.827719045416643,-1.5467658401717372
161,-15.66035849245607,0.0806561506528249,-10.868750490416687,-1.8598663210305304
162,-15.1612141861982,1.002628449577765,-10.92485392333333,-2.420202899270238
163,-15.788045259073712,0.6781007035370612,-5.066883835833437,-1.810743674905452
164,-6.746628681320878,-1.1710527845676126,-15.638103389583309,-1.6564705511422744
165,-16.686197315190796,0.230828401963737,-5.714277958750017,-2.1555006143378983
166,-16.33510847930771,1.2961463403719784,-8.86641076708338,-2.143305434900394
167,-13.473133057194495,-0.2951861028698204,-14.453557488749992,-1.7396739043182528
168,-15.73202475543768,-0.3633560753967323,-6.293862099166631,-1.822097886750173
169,-16.058688507295336,0.0244366099158864,-7.490509254166625,-1.8820053816129405
170,-11.753302312938017,0.6522714929233554,-12.059835340416612,-2.358900924611966
171,-15.657007815176966,0.2999766529967006,-14.842410814999994,-1.908874415293467
172,-15.531807716595178,0.6740791981067263,-9.881368650416675,-1.7301667739565114
173,-16.519364758238698,0.0120460021276392,-6.428546681666717,-1.9468149965178556
174,-10.74417698732385,0.1124588911947677,-13.392317243333366,-2.20517762022125
175,-13.6150798502484,-0.2339743369302474,-7.664681357083339,-1.7901359610774306
176,-14.064292150280044,-0.0397991134715811,-9.799297119999949,-2.413642183392286
177,-17.291048592432332,0.0581686458418722,0.1518447404166636,-2.9516994942909336
178,-17.48762753467189,-0.2441115187615174,0.0377119087499977,-1.5188106886884911
179,-14.510610704548364,0.6642531292582784,-7.757459282916557,-2.457587457455437
180,-12.695293239189285,0.5591707251969831,-4.658546985833368,-3.4586440714853866
181,-12.33535330709825,0.4964776066469564,-13.095125712083243,-1.892919801192121
182,-16.481874644731995,-0.0470261437402068,-3.1944596991666003,-1.7290716071189065
183,-9.860920834329686,-0.6301681825285547,-9.79722468,-1.6503588908635134
184,-15.90662529814178,0.2567509487372719,-5.802829462500085,-1.801189580817969
185,-16.535339744076737,0.5445904985832316,-11.981141317916697,-2.5778750882403463
186,-14.542171844648005,-0.2535068885535237,-8.945201975833413,-2.2081400222340366
187,-13.55351610332455,0.3051241214536663,-8.918979681249994,-2.314549149880766
188,-12.405578414591798,0.8098122783347304,-12.306878688333311,-1.6666303945987075
189,-15.451648927211712,0.930607902981176,-8.711164215416716,-2.7498439900462595
190,-16.285403097931155,0.1551288528309192,-11.669784647916686,-1.8282029583193449
191,-11.888651541960389,-0.8878035241068402,-11.059370857083422,-2.061535892431435
192,-10.309951931193003,0.0078230643978833,-9.640182012916682,-1.327813072719315
193,-16.457624928446776,0.1100921091195989,-0.7631898629166471,-1.8425858792437828
194,-16.73391684142464,0.8047662407995062,-4.44493988250008,-2.0904423093784867
195,-12.22718813086577,-1.036497664244818,-9.150076454166651,-1.988635480788624
196,-15.714786491168134,0.4952243662813966,-7.7288726154166625,-2.443729209244169
197,-11.8787310536373,0.3691291372122965,-18.208664306249943,-2.4563900685762
198,-16.477782660409698,-0.2740275318642281,-4.085379685000021,-2.529707809635491
199,-9.572398646708804,-0.6226099985854971,-10.07347560458328,-1.513102536322276
200,-6.712967422842848,-0.8719132544078173,-16.301625773333285,-1.48798192115423
201,-15.952161809050867,0.1425238967935796,-8.157574509166693,-2.5443340175541285
202,-16.44595742975441,-0.0865720885970709,-5.261791915000003,-2.1368252320429177
203,-7.946142400018459,-0.4440619084355404,-17.52987254166669,-2.4843396581606108
204,-16.08662433265192,-0.1841145650608136,-4.817856982916624,-1.9463161586553572
205,-10.642159622652484,-0.5846289124743738,-5.342776019583312,-1.3522539672514635
206,-10.755749550041664,0.7609518346139503,-13.657679112083372,-1.7156038782312475
207,-17.22509147730475,-0.019443325719583,-9.834718403750005,-2.3219458217769144
208,-18.276425303620968,0.1501692700380327,-0.9688164612499576,-1.9613723414832496
209,-14.874136907288776,-0.1630787051263064,-8.454318001666707,-2.211738470471618
210,-15.656266656851685,0.9244595252266106,-14.23112074874996,-2.636612535898094
211,-13.37324820275975,0.0185318195441317,-4.547942484583359,-1.7321700711548302
212,-12.106813979257348,-0.1286185984895593,-10.454439632499998,-2.280625187591677
213,-13.97111204824676,-0.558642198900791,-9.803994905000025,-2.2638858023812745
214,-14.680001543662398,0.6451335965157718,-8.831705104166758,-1.7052154983940335
215,-14.18793299002038,0.052867074962272,-9.651199173333223,-2.983563220897763
216,-17.092074063978142,0.4283243603574766,-6.470972830833375,-2.6703625708515277
217,-15.27769885052119,-0.5128213003239696,-4.935007182083325,-1.3586662328443675
218,-12.984659199249414,0.2746614186894336,-5.19545410624994,-3.4412375375559705
219,-14.874714377318814,0.6366701974587549,-12.64399230916672,-2.0733711963929786
220,-13.483953927512363,0.9692562003688128,-3.562678032916665,-1.4633107425780474
221,-16.337260067540626,0.6088618015807155,-7.974735260416651,-2.181729970164536
222,-12.727577791486835,0.8932418115693904,-10.932089130000008,-2.793273993936265
223,-11.363887155235348,-0.08453082457227,-2.7775159079167224,-1.4405168244079245
224,-15.760083365558268,0.4079627794472724,-8.64100386208338,-2.21418024053171
225,-15.723257351929323,0.4208375279019352,-8.518532301666596,-2.146837460318664
226,-15.350848432988837,0.4235939334111885,-15.27540548333343,-2.337912274506318
227,-15.937293733334457,1.0295021643068694,-11.79729999499989,-2.2816381134847625
228,-12.877132379001717,0.3840830693995879,-12.215567989166743,-2.3051681936862387
229,-11.868613709630118,-0.3534255294269937,-9.505387952499971,-2.1566425496287924
